category,messageId,originalTimestamp,anonymousId,name,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,traits,button_name,location,email,input_value,input_num,input_name,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,search_text,event_type
start,ajs-next-1764905981798-8ef19233-58c5-4ae6-8f85-ace417d74762,2025-12-05 03:39:41.798000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,start,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,start,start,,,,,,,,,,,,,,,,,,,,,,page
index,ajs-next-1764905970812-dfef2175-367e-457d-b2d8-fd301fff4b68,2025-12-05 03:39:30.812000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,index,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1764905980107-857d32d8-fd30-4fff-8b68-92126e8f4f90,2025-12-05 03:39:40.107000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,,,,list_your_business,main_page,,,,,,,,,,,,,,,,,button_click
,ajs-next-1764906015353-923358c5-1ae6-4f85-ace4-17d7476203ea,2025-12-05 03:40:15.353000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,,,,sign_up,,purplesagebodywork@gmail.com,,,,,,,,,,,,,,,,button_click
dashboard,ajs-next-1764906391579-95e1704d-03c5-4467-9a97-f78118f72e51,2025-12-05 03:46:31.579000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,dashboard,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,dashboard,dashboard,1764893879099x465248075524681500,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1764906390292-ea94a4e7-373f-46af-a66d-738341101a15,2025-12-05 03:46:30.292000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,,,,avatar,,,,,,,,,,,,,,,,,,button_click
,ajs-next-1764905971121-367e857d-32d8-4d30-9fff-4b6892126e8f,2025-12-05 03:39:31.121000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,"1743549178851x847080663521240200, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1743547621069x279645472884266780, 1744335958024x226211831616957250",true,,,,,,,,,,,,,,,,,,,,impression
,ajs-next-1764906420652-03c5d467-5a97-4781-98f7-2e51d90018a6,2025-12-05 03:47:00.652000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,1764893879099x465248075524681500,,,,,,"1780 S Bellaire St #490, Denver, CO 80222, USA",3,address,,,,,,,,,,,,,input_changed
,ajs-next-1764908839777-6c901f59-0d01-4f09-aab8-739bed9861b9,2025-12-05 04:27:19.777000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/business_profile/purple-sage-bodywork,https://coloradocatholicbusinessdirectory.com/,,Purple Sage Bodywork | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/purple-sage-bodywork,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,1764893879099x465248075524681500,,,visit_website,,,,,,,,,,,,,,,,,,button_click
,ajs-next-1764906016529-58c51ae6-8f85-4ce4-97d7-476203ea5864,2025-12-05 03:40:16.529000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,,,"{'business_id': '1764893879099x465248075524681500', 'email': 'purplesagebodywork@gmail.com'}",,,,,,,,,,,,,,,,,,,identify
,ajs-next-1764906018294-422d955a-ff2a-4cd1-9d87-47c637612447,2025-12-05 03:40:18.294000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,,,"{'business_id': '1764893879099x465248075524681500', 'email': 'purplesagebodywork@gmail.com', 'is_logged_in': True}",,,,,,,,,,,,,,,,,,,identify
profile,ajs-next-1764906657487-7f73572c-194d-44dd-90b6-c79b3c064212,2025-12-05 03:50:57.487000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,business_profile,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/business_profile/purple-sage-bodywork,https://coloradocatholicbusinessdirectory.com/,,Purple Sage Bodywork | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/purple-sage-bodywork,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/business_profile/purple-sage-bodywork,https://coloradocatholicbusinessdirectory.com/,,Purple Sage Bodywork | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/purple-sage-bodywork,profile,business_profile,1764893879099x465248075524681500,,,,,,,,,,,,,,,,,,,,,page
start,ajs-next-1764906023978-bb0c6f02-efb2-45bb-bc88-1fcca0db1b31,2025-12-05 03:40:23.978000+00:00,0c6f02ef-b265-4bfc-881f-cca0db1b31fb,start,,"Mozilla/5.0 (Linux; Android 14; en; TECNO BG6m Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 HiBrowser/v2.25.6.3;lang=es;nation=DO;locale=es_DO UWS/ Mobile Safari/537.36",/start,https://www.google.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,"[{'brand': 'Chromium', 'version': '138'}, {'brand': 'Not:A-Brand', 'version': '8'}, {'brand': 'Google Chrome', 'version': '138'}]",True,Android,/start,https://www.google.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,start,start,,,,,,,,,,,,,,,,,,,,,,page
index,ajs-next-1764906386466-aea9703d-1268-4a94-a4e7-373f96afe66d,2025-12-05 03:46:26.466000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,index,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1764906656121-5786199f-ec2d-4426-ba71-58e5b113ff48,2025-12-05 03:50:56.121000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,1764893879099x465248075524681500,,,,,purplesagebodywork@gmail.com,,,,,,,"At Purple Sage Bodywork, massage therapy is more than a treatment — it’s a way to support your unique journey toward wellness. Whether you're seeking pain relief, stress reduction, or new ways to care for your body, I’m honored to walk that path with you.",purplesagebodywork@gmail.com,Purple Sage Bodywork,Health & Wellness,St. Thomas More,970-316-3291 ,"Bodywork - Massage, Manual Lymphatic Drainage ",Https://www.massagebook.com/biz/purple-sage-bodywork,,db_update
start,ajs-next-1764905985945-76bc705f-5150-4941-90fa-4432925a4455,2025-12-05 03:39:45.944000+00:00,bc705f51-50f9-4110-ba44-32925a4455cd,start,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)",/start,,,Login,https://coloradocatholicbusinessdirectory.com/start,[],False,,/start,,,Login,https://coloradocatholicbusinessdirectory.com/start,start,start,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1764906497404-f78118f7-2e51-4900-98a6-1a53c6c65786,2025-12-05 03:48:17.404000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,1764893879099x465248075524681500,,,,,,Https://www.massagebook.com/biz/purple-sage-bodywork,6,website,,,,,,,,,,,,,input_changed
,ajs-next-1764906431634-d4675a97-f781-48f7-ae51-d90018a61a53,2025-12-05 03:47:11.634000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,1764893879099x465248075524681500,,,,,,970-316-3291 ,5,phone,,,,,,,,,,,,,input_changed
,ajs-next-1764906386861-703d1268-ea94-44e7-b73f-96afe66d7383,2025-12-05 03:46:26.861000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,"1753374338412x209529915103450200, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1744335958024x226211831616957250",true,,,,,,,,,,,,,,,,,,,,impression
,ajs-next-1764906471918-5a97f781-18f7-4e51-9900-18a61a53c6c6,2025-12-05 03:47:51.918000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,1764893879099x465248075524681500,,,,,,Https://massagebook.com/biz/purple-sage-bodywork ,6,website,,,,,,,,,,,,,input_changed
,ajs-next-1764906672173-572c194d-c4dd-40b6-879b-3c0642125982,2025-12-05 03:51:12.173000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/business_profile/purple-sage-bodywork,https://coloradocatholicbusinessdirectory.com/,,Purple Sage Bodywork | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/purple-sage-bodywork,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,1764893879099x465248075524681500,,,visit_website,,,,,,,,,,,,,,,,,,button_click
,ajs-next-1764906657483-c9d67f73-572c-494d-84dd-90b6c79b3c06,2025-12-05 03:50:57.483000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/business_profile/purple-sage-bodywork,https://coloradocatholicbusinessdirectory.com/,,Purple Sage Bodywork | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/purple-sage-bodywork,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,,,"{'business_id': '1764893879099x465248075524681500', 'email': 'purplesagebodywork@gmail.com', 'is_logged_in': True}",,,,,,,,,,,,,,,,,,,identify
,ajs-next-1764908724038-0a050c73-8f21-4781-9683-6f729d2c8c5a,2025-12-05 04:25:24.038000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,android-app://com.google.android.gm/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,"1750436264420x989591292213482400, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1743547621069x279645472884266780",true,,,,,,,,,,,,,,,,,,,,impression
