category,name,anonymousId,userId,messageId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,button_name,search_text,userAgentData.brands,userAgentData.mobile,userAgentData.platform,traits,event_type
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508966971-b45c2dee-b9ed-4736-b46f-95fbc14fca51,2026-04-30 00:29:26.971000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,sidebar,true,,,,,,,impression
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508714046-dc019a15-dcf0-4c53-8aac-e527f3b68484,2026-04-30 00:25:14.046000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1751744301621x758526182685981300, 1771436045389x658317953644361100, 1770943484557x164806709481949200",,true,,,,,,,impression
profile,business_profile,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508920851-adf20cc6-39ca-4e11-970c-2f9b28a4a850,2026-04-30 00:28:40.851000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/business_profile/little-law-office-llc-1750423781412x480534435350699700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/little-law-office-llc-1750423781412x480534435350699700,/business_profile/little-law-office-llc-1750423781412x480534435350699700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/little-law-office-llc-1750423781412x480534435350699700,profile,business_profile,1750423781412x480534435350699700,,,,,,,,,page
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508998231-14c3dd0b-5038-4df1-87f4-e95f3e1dbab2,2026-04-30 00:29:58.231000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,sidebar,true,,,,,,,impression
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508745913-509eced0-0323-481c-8649-ecc9ee5268f9,2026-04-30 00:25:45.913000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,1744335958024x226211831616957250,main_list,true,,,,,,,impression
search,search,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777509075425-306b9b12-3527-4ceb-a81c-c0400cf48d9c,2026-04-30 00:31:15.425000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,,,page
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777509076134-35274ceb-281c-4040-8cf4-8d9c5391c71e,2026-04-30 00:31:16.134000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,1751744301621x758526182685981300,main_list,true,,,,,,,impression
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508745610-1cc4509e-ced0-4323-b81c-0649ecc9ee52,2026-04-30 00:25:45.610000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,sidebar,true,,,,,,,impression
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508998535-dd0b5038-edf1-47f4-a95f-3e1dbab265a5,2026-04-30 00:29:58.535000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,1750436264420x989591292213482400,main_list,true,,,,,,,impression
profile,business_profile,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508949856-f1768e73-9c41-41f6-b6d4-99d49903a8e5,2026-04-30 00:29:09.856000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/business_profile/hedberg-law-firm-llc-1744282156200x727555159743162000,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/hedberg-law-firm-llc-1744282156200x727555159743162000,/business_profile/hedberg-law-firm-llc-1744282156200x727555159743162000,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/hedberg-law-firm-llc-1744282156200x727555159743162000,profile,business_profile,1744282156200x727555159743162000,,,,,,,,,page
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508726559-dcf01c53-4aac-4527-b3b6-8484c95cfff3,2026-04-30 00:25:26.559000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,search,,,,,,button_click
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508935537-4f66f597-ae21-4c83-a6ab-23cd6fbdd82a,2026-04-30 00:28:55.537000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,1751744301621x758526182685981300,main_list,true,,,,,,,impression
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508729204-30111c83-5c89-4f02-ad88-81f166cfe588,2026-04-30 00:25:29.204000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,,,,,,,,,sidebar,true,,,,,,,impression
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508967620-b9edf736-346f-45fb-814f-ca51de13f482,2026-04-30 00:29:27.620000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,"1757355028996x505189727810192200, 1768427614253x929508274229176300, 1751744301621x758526182685981300, 1744579851707x640487742075829500, 1769635123521x385801932800474700, 1746467711533x453074785848415400, 1751224250248x539537516841198200, 1749580724532x760028975589297300, 1744740154739x566945822952470660, 1777042863057x294476376362385400, 1758120880051x675194275556497400, 1775244057768x699511577684581800, 1744134674881x127285411168640110, 1776360466250x658348247885801300, 1771545376609x752763268373144000, 1753911193017x504194995643152640, 1750783679107x801419812763124500, 1750436264420x989591292213482400, 1752182630575x854371423894944000, 1755533063776x956164571796881400, 1753985929691x853149258569598100, 1748581534531x956271769254002200, 1770152894907x464897480736850900, 1776373432940x530737443814194940, 1758568877707x715638242996164100, 1752717497153x537286585580736960, 1755621956288x571897163769246900, 1775058462201x523059865418210800, 1761930377989x951815782791809400, 1750423781412x480534435350699700, 1747827548541x313848517899538500, 1761919898226x928695665795906700, 1746765568691x979794717919274100, 1771436045389x658317953644361100, 1743549178851x847080663521240200, 1746631267951x741803061642879500, 1744643921578x315333816253624100, 1747183179554x540122160625888100, 1747415704843x665338483592092500, 1757438153395x416809556103947500, 1747420152884x437771544876149700, 1769719058268x843927058977011000, 1776102250538x198432379819539760, 1744760380914x558772773612561600, 1764893879099x465248075524681500, 1751425811600x127124815802215140, 1777405836126x277715594249416060, 1749057953945x756346430245684600, 1755271286521x378031808974615550, 1754084205128x675147807630683600, 1768426055630x579798080961828200, 1759153763139x433792388290277000, 1768581853937x610498789092930300, 1744748222708x779656090283929300, 1768238584049x399775147114029200, 1765001972595x338020444395840100, 1753909381745x872991521395046100, 1748389292320x918627677903932400, 1766011883106x917993758751800300, 1744907031541x119079844893356540, 1745273541628x945470626229355500, 1751402056748x637551618886434600, 1753135741395x558904608479141570, 1749068120323x412920063824988600, 1771003581692x955050931630977700, 1754505203290x671062062407191900, 1753374338412x209529915103450200, 1750785338983x949958887494882000, 1759930025997x126109694575208930, 1744319857648x144922844539837200, 1771433486472x495156137805681660, 1746548006831x128230088489826860, 1772982809798x739419868972941400, 1764711530894x480989914892320700, 1746855895334x711816173120128000, 1747163465846x476237095610093000, 1744260813114x505427712482621440, 1764963280733x431041418968701760, 1748365021326x105262688542451250, 1747594874125x270237571814453630, 1776360294100x840938158936498600, 1746635677548x343522492232585660, 1758147388607x898014240790697700, 1749173974503x736079030141835600, 1763148950401x545361905340972600, 1761044854709x307607562836745150, 1764781838221x716772635359430500, 1754624056001x759184470890143000, 1754081360962x724252535884739300, 1771517879190x523242735258870900, 1770943484557x164806709481949200, 1752687366861x422755081931784260, 1744743906400x631087870982087000, 1760458225389x690604949380638100, 1751749348389x952656707958261400, 1746843461447x686795565273950000, 1759423986281x805514757919405700, 1747216018889x770977089491677400, 1776552489781x780158200693874000, 1758312173588x895819358343598700, 1744335958024x226211831616957250, 1754927931120x470668069008822300, 1750784475796x702583457937545900, 1777052217878x935579896985562900, 1747848709032x210920410073364830, 1750784029587x963255839088365200, 1774573166178x561429420668618400, 1764342295066x618134664283571500, 1771021914207x198452557005754900, 1777042895042x187867473484191420, 1761762460002x434978052003146300, 1746938798847x931997689495082400, 1745533127765x291393362647413700, 1768584016102x834619843946063900, 1744175271939x575064790204550460, 1776210729408x448410210135887360, 1772482882558x843076024552954900, 1763305551668x997299018011994600, 1762889659042x996969350831174300, 1777321143190x321072500270616060, 1744391553368x301043576290850300, 1770755356265x111382421474427680, 1766070455303x639821695383855700, 1747170561218x640297169073643000, 1757369121056x350487849823425600, 1743547621069x279645472884266780, 1763569204895x378265538177280400, 1762957766158x632118084948257900, 1762364811793x796217509980630800, 1744157592334x292550965261606100, 1771538218470x758525499484679000, 1746827109704x963221719337950200, 1757437593796x460281345015416640, 1761762406893x958878656538368500, 1747165674437x491901038958021200, 1744751205492x235134337285239230, 1744398484109x785674167096991400, 1747221865162x703532834449508000, 1763509156539x144450665564595840, 1744737250347x219277345743008400, 1765991015203x350068785849064760, 1750783674403x491887953737125700, 1751319669665x621437589169731200, 1768844277981x664142917381285000, 1763255155587x707008769292458900, 1757720364741x595714121363069200, 1763672237927x725969385673238800, 1765399408996x262641226191956400, 1754941249648x796792188496967000, 1754949567759x639105313824555300, 1745597587022x519433479989605000, 1744282156200x727555159743162000, 1747185390251x665604546429507900, 1762271200864x775090106640580500, 1747864432460x772931238395911000, 1747398900475x598159844147748100, 1753465897836x101289632151690960, 1744397288473x909294892772270800, 1760118921086x941497076227920600, 1745528732739x896561533370513300, 1744736810207x919925185055488400, 1749742920378x965836759111504900, 1763408145585x201322720695875870, 1747184079669x994211808429350800, 1753982403438x535213824960417500",,false,,,,,,,impression
Other,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508726865-1c534aac-e527-43b6-8484-c95cfff33d89,2026-04-30 00:25:26.865000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,,,search
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508738800-2e07d1b9-d58f-45c4-ac04-66169b9bff76,2026-04-30 00:25:38.800000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1753982403438x535213824960417500, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1751744301621x758526182685981300",,true,,,,,,,impression
