category,originalTimestamp,messageId,userId,anonymousId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,button_name,business_id,sponsored_listing,search_text,location,event_type
,2026-03-14 04:09:04.683000+00:00,ajs-next-1773461344683-f864d82d-6435-4ac9-8b4b-88ed80d92e43,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,"1768426055630x579798080961828200, 1744643921578x315333816253624100, 1765399408996x262641226191956400, 1757438153395x416809556103947500, 1744397288473x909294892772270800, 1753374338412x209529915103450200, 1754081360962x724252535884739300, 1757437593796x460281345015416640, 1754084205128x675147807630683600, 1752717497153x537286585580736960, 1743547621069x279645472884266780",false,,,impression
,2026-03-14 04:08:51.207000+00:00,ajs-next-1773461331207-4eb9e9bd-8f0d-4f13-9f13-ebe9ed61152b,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,,true,,sidebar,impression
,2026-03-14 04:09:04.682000+00:00,ajs-next-1773461344682-17f3f864-d82d-4435-8ac9-0b4b88ed80d9,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,"1768426055630x579798080961828200, 1744643921578x315333816253624100, 1765399408996x262641226191956400, 1757438153395x416809556103947500, 1744397288473x909294892772270800, 1753374338412x209529915103450200, 1754081360962x724252535884739300, 1757437593796x460281345015416640, 1754084205128x675147807630683600, 1752717497153x537286585580736960, 1743547621069x279645472884266780",false,,,impression
,2026-03-14 04:08:51.714000+00:00,ajs-next-1773461331714-e9bd8f0d-cf13-4f13-abe9-ed61152b70d6,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,1753374338412x209529915103450200,true,,main_list,impression
search,2026-03-14 04:08:50.699000+00:00,ajs-next-1773461330699-230d4eb9-e9bd-4f0d-8f13-1f13ebe9ed61,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,search,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,search,search,,,,,,page
,2026-03-14 04:08:52.316000+00:00,ajs-next-1773461332316-cf131f13-ebe9-4d61-952b-70d6af1f17f3,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,1753374338412x209529915103450200,true,,main_list,impression
,2026-03-14 04:09:04.678000+00:00,ajs-next-1773461344678-70d6af1f-17f3-4864-982d-64354ac90b4b,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,"1768426055630x579798080961828200, 1744643921578x315333816253624100, 1765399408996x262641226191956400, 1757438153395x416809556103947500, 1744397288473x909294892772270800, 1753374338412x209529915103450200, 1754081360962x724252535884739300, 1757437593796x460281345015416640, 1754084205128x675147807630683600, 1752717497153x537286585580736960, 1743547621069x279645472884266780",false,,,impression
,2026-03-14 04:08:51.988000+00:00,ajs-next-1773461331988-8f0dcf13-1f13-4be9-ad61-152b70d6af1f,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,,true,,sidebar,impression
how_it_works,2026-03-14 04:10:23.924000+00:00,ajs-next-1773461423924-b999a188-b2e1-431d-be16-96b07ecb0b89,,99a188b2-e1f3-4d7e-9696-b07ecb0b896d,how_it_works,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1773454536200x433755260295543000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1773454536200x433755260295543000,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,/how_it_works/1773454536200x433755260295543000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1773454536200x433755260295543000,how_it_works,how_it_works,,,,,,page
,2026-03-14 04:07:58.184000+00:00,ajs-next-1773461278184-4c1b83a1-6da0-499e-b7f0-97f91e035a39,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,"1753374338412x209529915103450200, 1743547621069x279645472884266780, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1744335958024x226211831616957250, 1752717497153x537286585580736960",true,,,impression
,2026-03-14 04:13:06.508000+00:00,ajs-next-1773461586508-be466072-cedf-42a3-ba11-1bb28b44b68b,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/business_profile/the-revenue-partner-1744643921578x315333816253624100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-revenue-partner-1744643921578x315333816253624100,,,,,,,,,,,visit_website,1744643921578x315333816253624100,,,,button_click
index,2026-03-14 04:07:58.177000+00:00,ajs-next-1773461278177-830d1e4c-1b83-416d-a049-9e37f097f91e,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,index,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
,2026-03-14 04:08:03.125000+00:00,ajs-next-1773461283125-83a16da0-499e-47f0-97f9-1e035a393724,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,"1753374338412x209529915103450200, 1743547621069x279645472884266780, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1744335958024x226211831616957250, 1752717497153x537286585580736960",true,,,impression
,2026-03-14 04:09:04.680000+00:00,ajs-next-1773461344680-af1f17f3-f864-482d-a435-4ac90b4b88ed,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,"1768426055630x579798080961828200, 1744643921578x315333816253624100, 1765399408996x262641226191956400, 1757438153395x416809556103947500, 1744397288473x909294892772270800, 1753374338412x209529915103450200, 1754081360962x724252535884739300, 1757437593796x460281345015416640, 1754084205128x675147807630683600, 1752717497153x537286585580736960, 1743547621069x279645472884266780",false,,,impression
,2026-03-14 04:23:08.656000+00:00,ajs-next-1773462188656-554e0627-db81-41d2-9523-932ded37065b,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,"1765399408996x262641226191956400, 1744643921578x315333816253624100, 1754081360962x724252535884739300, 1744397288473x909294892772270800, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1757437593796x460281345015416640, 1753374338412x209529915103450200, 1754084205128x675147807630683600, 1768426055630x579798080961828200, 1757438153395x416809556103947500",false,,,impression
,2026-03-14 04:09:04.673000+00:00,ajs-next-1773461344673-ed61152b-70d6-4f1f-97f3-f864d82d6435,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,"1768426055630x579798080961828200, 1744643921578x315333816253624100, 1765399408996x262641226191956400, 1757438153395x416809556103947500, 1744397288473x909294892772270800, 1753374338412x209529915103450200, 1754081360962x724252535884739300, 1757437593796x460281345015416640, 1754084205128x675147807630683600, 1752717497153x537286585580736960, 1743547621069x279645472884266780",false,,,impression
,2026-03-14 04:23:07.631000+00:00,ajs-next-1773462187631-e1b3efc5-a033-4345-9415-554e0627db81,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,,true,,sidebar,impression
profile,2026-03-14 04:23:21.924000+00:00,ajs-next-1773462201924-0cf2388c-66f1-45f1-b71a-282896609f37,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,business_profile,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/business_profile/longbowman-services-llc-1765399408996x262641226191956400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/longbowman-services-llc-1765399408996x262641226191956400,,,,/business_profile/longbowman-services-llc-1765399408996x262641226191956400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/longbowman-services-llc-1765399408996x262641226191956400,profile,business_profile,,1765399408996x262641226191956400,,,,page
,2026-03-14 04:23:08.647000+00:00,ajs-next-1773462188647-9415554e-0627-4b81-81d2-1523932ded37,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,"1765399408996x262641226191956400, 1744643921578x315333816253624100, 1754081360962x724252535884739300, 1744397288473x909294892772270800, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1757437593796x460281345015416640, 1753374338412x209529915103450200, 1754084205128x675147807630683600, 1768426055630x579798080961828200, 1757438153395x416809556103947500",false,,,impression
,2026-03-14 04:23:17.165000+00:00,ajs-next-1773462197165-1523932d-ed37-465b-8c57-718dc4ac16f4,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,more_info_text,1765399408996x262641226191956400,false,,,button_click
search,2026-03-14 04:23:07.124000+00:00,ajs-next-1773462187124-f95de1b3-efc5-4033-a345-9415554e0627,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,search,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,search,search,,,,,,page
,2026-03-14 04:23:08.136000+00:00,ajs-next-1773462188136-efc5a033-e345-4415-954e-0627db8141d2,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,1752717497153x537286585580736960,true,,main_list,impression
,2026-03-14 04:23:09.161000+00:00,ajs-next-1773462189161-41d21523-932d-4d37-865b-0c57718dc4ac,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,"1765399408996x262641226191956400, 1744643921578x315333816253624100, 1754081360962x724252535884739300, 1744397288473x909294892772270800, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1757437593796x460281345015416640, 1753374338412x209529915103450200, 1754084205128x675147807630683600, 1768426055630x579798080961828200, 1757438153395x416809556103947500",false,,,impression
,2026-03-14 04:23:08.856000+00:00,ajs-next-1773462188856-0627db81-41d2-4523-932d-ed37065b0c57,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,1752717497153x537286585580736960,true,,main_list,impression
,2026-03-14 04:23:08.550000+00:00,ajs-next-1773462188550-a033e345-9415-454e-8627-db8141d21523,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,,true,,sidebar,impression
,2026-03-14 04:23:08.880000+00:00,ajs-next-1773462188880-db8141d2-1523-432d-ad37-065b0c57718d,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,"1765399408996x262641226191956400, 1744643921578x315333816253624100, 1754081360962x724252535884739300, 1744397288473x909294892772270800, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1757437593796x460281345015416640, 1753374338412x209529915103450200, 1754084205128x675147807630683600, 1768426055630x579798080961828200, 1757438153395x416809556103947500",false,,,impression
