category,messageId,userId,originalTimestamp,anonymousId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,properties,traits,sponsored_listing,button_name,location,input_value,input_num,input_name,search_text,city,parish,email,address,other_category,description,display_email,business_name,main_category,phone,sub_category,website,event_type
index,ajs-next-1770165220593-a6be28fe-892f-431c-a846-03d65ed4be2a,,2026-02-04 00:33:40.593000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1770165226333-1ca84603-d65e-44be-aa7b-1229539ed501,,2026-02-04 00:33:46.333000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,,,,,,,,,,,,login,navbar,,,,,,,,,,,,,,,,,button_click
index,ajs-next-1770165431841-6b0f2d3c-8997-42e2-9b8d-27d903cb271c,1744397288473x909294892772270800,2026-02-04 00:37:11.841000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1770165258753-cd782420-8249-4a08-8b35-5e18da38bd25,1744397288473x909294892772270800,2026-02-04 00:34:18.753000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,,,,,,"1753374338412x209529915103450200, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1743549178851x847080663521240200, 1752717497153x537286585580736960",,,,,true,,,,,,,,,,,,,,,,,,,impression
,ajs-next-1770165302863-9f8862b4-d478-4b43-9dae-e815df3b77b7,1744397288473x909294892772270800,2026-02-04 00:35:02.862000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,,,,,,1744397288473x909294892772270800,,,,,,,,"At Serve Business Consulting LLC, we’re more than just consultants; we’re your partners in creating world-class customer experiences and fostering exceptional workplace environments.Based in Colorado Springs, we specialize in data-driven customer service training, leadership development, and monitoring solutions designed to help businesses throughout the Front Range thrive.

Our Mission - Through authentic relationships built on sincerity and humility, we analyze customer and employee interactions to cultivate a culture where service is a consistent joy.

What We Offer - 
1. Fractional CXO Services


2. Leadership Development:
- Background Leadership 101™: Cultivate servant leadership among executives and managers with hands-on training and personalized coaching.
- Background Leadership Certification™: Advanced coaching and skill-building for leaders to master servant leadership techniques.

3. Individual Customer Service Certification:
- It’s a BLAST to SERVE™ Certification: Equip your team with de-escalation techniques and best practices for daily interactions.
- SERVE-ing Beside Christ™ Certification: Specialized training tailored for church environments, combining prayer and practical service strategies.

4. A La Carte Services:
- Customer, employee, and event satisfaction surveys
- Net Promoter Score (NPS) assessments
 -Customizable feedback systems

Why Choose Us?
- Customized Solutions: Tailored programs to meet your organization’s unique needs.
- In-Person Expertise: We work directly with your team to ensure impactful results.
- Proven Results: Accredited by BBB and committed to achieving measurable outcomes for your business.",11,description,,,,,,,,,,,,,,input_changed
dashboard,ajs-next-1770165395758-a0d6fb1f-23ad-4c6d-8b89-91ef921b0122,1744397288473x909294892772270800,2026-02-04 00:36:35.758000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,dashboard,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1744397288473x909294892772270800,dashboard,dashboard,,,,,,,,,,,,,,,,,,,,,,page
dashboard,ajs-next-1770165413267-6c6dcb89-91ef-421b-8122-a7b5499fbb01,1744397288473x909294892772270800,2026-02-04 00:36:53.267000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,dashboard,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1744397288473x909294892772270800,dashboard,dashboard,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1770165419660-1bfef106-8a9e-4d1e-935b-7f8ac6a2dd43,1744397288473x909294892772270800,2026-02-04 00:36:59.660000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,,,,,,"1744579851707x640487742075829500, 1750436264420x989591292213482400, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1743549178851x847080663521240200, 1753982403438x535213824960417500",,,,,true,,,,,,,,,,,,,,,,,,,impression
dashboard,ajs-next-1770165273905-dbc13a32-9f88-42b4-9478-3b43ddaee815,1744397288473x909294892772270800,2026-02-04 00:34:33.905000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,dashboard,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1744397288473x909294892772270800,dashboard,dashboard,,,,,,,,,,,,,,,,,,,,,,page
index,ajs-next-1770165258265-8908cd78-2420-4249-ba08-cb355e18da38,1744397288473x909294892772270800,2026-02-04 00:34:18.265000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1770165361691-d4783b43-ddae-4815-9f3b-77b735bd30d6,1744397288473x909294892772270800,2026-02-04 00:36:01.691000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,,,,,,1744397288473x909294892772270800,,,,,,save,,,,,,,,,,,,,,,,,,button_click
profile,ajs-next-1770165370104-0ace553f-65aa-4bf0-9d49-a82d258277aa,1744397288473x909294892772270800,2026-02-04 00:36:10.104000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,business_profile,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/business_profile/serve-business-consulting-llc,https://coloradocatholicbusinessdirectory.com/,,Serve Business Consulting LLC | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/serve-business-consulting-llc,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,/business_profile/serve-business-consulting-llc,https://coloradocatholicbusinessdirectory.com/,,Serve Business Consulting LLC | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/serve-business-consulting-llc,1744397288473x909294892772270800,profile,business_profile,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1770165439767-32e21b8d-27d9-43cb-a71c-f25a36761352,1744397288473x909294892772270800,2026-02-04 00:37:19.767000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,,,,,,,Marketing/B2B,,,,,,,,,,,,,,,,,,,,,,,search
,ajs-next-1770165482441-aa7d0f9d-cd66-4fa6-9d5b-3ad97efea6a2,1744397288473x909294892772270800,2026-02-04 00:38:02.441000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,,,,,,,Home Services,,,,,,main_search,,,,,,,,,,,,,,,,,search
profile,ajs-next-1770166080445-16238c49-ee71-4c85-9c2c-875d75faa685,,2026-02-04 00:48:00.445000+00:00,6964e19a-9618-4872-9a4b-efd0f8eb656d,business_profile,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/business_profile/principle-accounting-llc-1746827109704x963221719337950200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/principle-accounting-llc-1746827109704x963221719337950200,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,macOS,/business_profile/principle-accounting-llc-1746827109704x963221719337950200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/principle-accounting-llc-1746827109704x963221719337950200,1746827109704x963221719337950200,profile,business_profile,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1770165512880-3ad97efe-a6a2-4ee4-9bf0-ecb2f5bfe81c,1744397288473x909294892772270800,2026-02-04 00:38:32.880000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,,,,,,1763408145585x201322720695875870,,,,,false,more_info_text,,,,,,,,,,,,,,,,,,button_click
,ajs-next-1770165442894-6d6e361d-dd74-414d-aa7d-0f9dcd663fa6,1744397288473x909294892772270800,2026-02-04 00:37:22.894000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,,,,,,,,,,,true,,sidebar,,,,,,,,,,,,,,,,,impression
,ajs-next-1770165220988-fe892f63-1ca8-4603-965e-d4be2a7b1229,,2026-02-04 00:33:40.988000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,,,,,,"1744579851707x640487742075829500, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1752717497153x537286585580736960, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1743547621069x279645472884266780",,,,,true,,,,,,,,,,,,,,,,,,,impression
index,ajs-next-1770165419169-69e41bfe-f106-4a9e-ad1e-d35b7f8ac6a2,1744397288473x909294892772270800,2026-02-04 00:36:59.169000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1770165432356-2d3c8997-32e2-4b8d-a7d9-03cb271cf25a,1744397288473x909294892772270800,2026-02-04 00:37:12.355000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,,,,,,"1750436264420x989591292213482400, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1753982403438x535213824960417500",,,,,true,,,,,,,,,,,,,,,,,,,impression
