name,anonymousId,category,messageId,originalTimestamp,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,location,button_name,properties,traits,email,event_type
start,1af29d11-e8cd-4c8c-b224-118a415a5265,start,ajs-next-1769992941559-a11af29d-11e8-4d3c-8c72-24118a415a52,2026-02-02 00:42:21.558000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,,,page
business_profile,1af29d11-e8cd-4c8c-b224-118a415a5265,profile,ajs-next-1769992947847-334843f3-b05d-46e6-8711-93dafc2d2cd8,2026-02-02 00:42:27.847000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,profile,business_profile,1753982403438x535213824960417500,,,,,,,page
start,f5bf9f9d-72e7-4b4f-ac04-3e0325bc3d14,start,ajs-next-1769993907012-d6f5bf9f-9d72-47bb-8fec-043e0325bc3d,2026-02-02 00:58:27.012000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,,,page
index,f5bf9f9d-72e7-4b4f-ac04-3e0325bc3d14,index,ajs-next-1769993914213-97bf2848-1574-47f6-98ed-7dfdb4fac8f6,2026-02-02 00:58:34.213000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
business_profile,f5bf9f9d-72e7-4b4f-ac04-3e0325bc3d14,profile,ajs-next-1769993923271-16d97f8c-7c56-4844-9780-281bae2293d8,2026-02-02 00:58:43.271000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,profile,business_profile,1750436264420x989591292213482400,,,,,,,page
,96697685-a032-4ba3-81ad-bfb8670d66cd,,ajs-next-1769994310448-be99f9fc-837d-4316-8468-27d8a573e566,2026-02-02 01:05:10.448000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,1753374338412x209529915103450200,true,main_list,,,,,impression
business_profile,f5bf9f9d-72e7-4b4f-ac04-3e0325bc3d14,profile,ajs-next-1769993917796-ac1df4eb-a601-4c0a-8b66-5aba22fdf208,2026-02-02 00:58:37.796000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,profile,business_profile,1753374338412x209529915103450200,,,,,,,page
business_profile,f5bf9f9d-72e7-4b4f-ac04-3e0325bc3d14,profile,ajs-next-1769993928583-2bbf6c56-61b4-41db-82a3-694a690731d0,2026-02-02 00:58:48.583000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,profile,business_profile,1743547621069x279645472884266780,,,,,,,page
search,96697685-a032-4ba3-81ad-bfb8670d66cd,search,ajs-next-1769994309837-4c0c4692-be99-49fc-837d-8316c46827d8,2026-02-02 01:05:09.837000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,page
,96697685-a032-4ba3-81ad-bfb8670d66cd,,ajs-next-1769994279217-a0322ba3-01ad-4fb8-a70d-66cd7e48542d,2026-02-02 01:04:39.217000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1752717497153x537286585580736960, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1743547621069x279645472884266780",true,,,,,,impression
,96697685-a032-4ba3-81ad-bfb8670d66cd,,ajs-next-1769994310145-4692be99-f9fc-437d-8316-c46827d8a573,2026-02-02 01:05:10.145000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,,true,sidebar,,,,,impression
,96697685-a032-4ba3-81ad-bfb8670d66cd,,ajs-next-1769994310761-f9fc837d-8316-4468-a7d8-a573e5669b49,2026-02-02 01:05:10.761000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,"1747221865162x703532834449508000, 1764781838221x716772635359430500, 1750784029587x963255839088365200, 1763305551668x997299018011994600, 1768581853937x610498789092930300, 1743549178851x847080663521240200, 1747827548541x313848517899538500, 1744760380914x558772773612561600, 1747216018889x770977089491677400, 1744260813114x505427712482621440, 1747184079669x994211808429350800, 1748389292320x918627677903932400, 1763255155587x707008769292458900, 1744391553368x301043576290850300, 1761919898226x928695665795906700, 1753911193017x504194995643152640, 1744743906400x631087870982087000, 1746467711533x453074785848415400, 1761044854709x307607562836745150, 1754927931120x470668069008822300, 1769719058268x843927058977011000, 1744282156200x727555159743162000, 1746843461447x686795565273950000, 1763509156539x144450665564595840, 1746938798847x931997689495082400, 1750784475796x702583457937545900, 1763148950401x545361905340972600, 1768584016102x834619843946063900, 1760458225389x690604949380638100, 1757355028996x505189727810192200, 1754081360962x724252535884739300, 1750785338983x949958887494882000, 1749173974503x736079030141835600, 1764893879099x465248075524681500, 1744751205492x235134337285239230, 1768426055630x579798080961828200, 1747163465846x476237095610093000, 1758568877707x715638242996164100, 1744134674881x127285411168640110, 1764963280733x431041418968701760, 1753985929691x853149258569598100, 1759930025997x126109694575208930, 1744319857648x144922844539837200, 1749057953945x756346430245684600, 1762271200864x775090106640580500, 1746635677548x343522492232585660, 1746765568691x979794717919274100, 1753374338412x209529915103450200, 1747398900475x598159844147748100, 1757720364741x595714121363069200, 1762364811793x796217509980630800, 1768238584049x399775147114029200, 1765399408996x262641226191956400, 1749068120323x412920063824988600, 1747185390251x665604546429507900, 1764342295066x618134664283571500, 1759423986281x805514757919405700, 1764711530894x480989914892320700, 1744736810207x919925185055488400, 1747848709032x210920410073364830, 1757369121056x350487849823425600, 1754941249648x796792188496967000, 1747420152884x437771544876149700, 1744643921578x315333816253624100, 1744740154739x566945822952470660, 1745273541628x945470626229355500, 1751402056748x637551618886434600, 1749742920378x965836759111504900, 1759153763139x433792388290277000, 1765001972595x338020444395840100, 1765991015203x350068785849064760, 1744748222708x779656090283929300, 1758120880051x675194275556497400, 1763672237927x725969385673238800, 1746827109704x963221719337950200, 1754084205128x675147807630683600, 1766070455303x639821695383855700, 1768427614253x929508274229176300, 1749580724532x760028975589297300, 1751425811600x127124815802215140, 1757437593796x460281345015416640, 1763408145585x201322720695875870, 1755621956288x571897163769246900, 1752687366861x422755081931784260, 1744157592334x292550965261606100, 1747165674437x491901038958021200, 1744397288473x909294892772270800, 1750783679107x801419812763124500, 1762889659042x996969350831174300, 1744398484109x785674167096991400, 1766011883106x917993758751800300, 1755271286521x378031808974615550, 1747183179554x540122160625888100, 1750783674403x491887953737125700, 1757438153395x416809556103947500, 1769635123521x385801932800474700, 1748581534531x956271769254002200, 1744737250347x219277345743008400, 1751224250248x539537516841198200, 1754624056001x759184470890143000, 1745528732739x896561533370513300, 1747170561218x640297169073643000, 1761762460002x434978052003146300, 1744907031541x119079844893356540, 1758147388607x898014240790697700, 1744335958024x226211831616957250, 1761762406893x958878656538368500, 1748365021326x105262688542451250, 1747415704843x665338483592092500, 1750423781412x480534435350699700, 1768844277981x664142917381285000, 1754505203290x671062062407191900, 1746855895334x711816173120128000, 1745533127765x291393362647413700, 1745597587022x519433479989605000, 1743547621069x279645472884266780, 1751749348389x952656707958261400, 1747864432460x772931238395911000, 1763569204895x378265538177280400, 1746631267951x741803061642879500, 1747594874125x270237571814453630, 1762957766158x632118084948257900, 1758312173588x895819358343598700, 1746548006831x128230088489826860, 1753135741395x558904608479141570, 1752182630575x854371423894944000, 1751319669665x621437589169731200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1760118921086x941497076227920600, 1751744301621x758526182685981300, 1755533063776x956164571796881400, 1750436264420x989591292213482400, 1761930377989x951815782791809400, 1744175271939x575064790204550460, 1753465897836x101289632151690960, 1753909381745x872991521395046100, 1754949567759x639105313824555300",false,,,,,,impression
index,96697685-a032-4ba3-81ad-bfb8670d66cd,index,ajs-next-1769994278914-29966976-85a0-422b-a301-adbfb8670d66,2026-02-02 01:04:38.914000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
,96697685-a032-4ba3-81ad-bfb8670d66cd,,ajs-next-1769994279093-7685a032-2ba3-41ad-bfb8-670d66cd7e48,2026-02-02 01:04:39.093000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1752717497153x537286585580736960, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1743547621069x279645472884266780",true,,,,,,impression
,96697685-a032-4ba3-81ad-bfb8670d66cd,,ajs-next-1769996674972-b509e7cd-7b5e-47ab-bf39-027ffdf97d3b,2026-02-02 01:44:34.972000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,,true,sidebar,,,,,impression
,96697685-a032-4ba3-81ad-bfb8670d66cd,,ajs-next-1769996675275-e7cd7b5e-97ab-4f39-827f-fdf97d3b76e8,2026-02-02 01:44:35.275000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,1752717497153x537286585580736960,true,main_list,,,,,impression
search,96697685-a032-4ba3-81ad-bfb8670d66cd,search,ajs-next-1769996674669-1ec3b509-e7cd-4b5e-97ab-ff39027ffdf9,2026-02-02 01:44:34.669000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,page
